iter	Passed	Remaining
162	2374	12192
163	2386	12163
164	2397	12134
165	2407	12097
166	2417	12058
167	2428	12028
168	2440	11997
169	2450	11963
170	2461	11932
171	2471	11898
172	2483	11869
173	2493	11837
174	2504	11805
175	2514	11773
176	2525	11742
177	2536	11713
178	2547	11685
179	2558	11655
180	2569	11624
181	2579	11591
182	2589	11562
183	2599	11529
184	2609	11494
185	2620	11467
186	2630	11437
187	2641	11407
188	2652	11382
189	2662	11348
190	2672	11318
191	2682	11288
192	2692	11259
193	2703	11233
194	2716	11212
195	2727	11187
196	2739	11164
197	2749	11138
198	2759	11109
199	2770	11081
200	2782	11059
201	2793	11036
202	2805	11013
203	2816	10991
204	2831	10979
205	2843	10958
206	2855	10940
207	2869	10925
208	2880	10901
209	2891	10877
210	2903	10857
211	2915	10837
212	2926	10811
213	2936	10786
214	2947	10761
215	2958	10739
216	2969	10715
217	2980	10690
218	2991	10667
219	3001	10643
220	3012	10619
221	3022	10593
222	3033	10569
223	3044	10546
224	3054	10522
225	3064	10495
226	3074	10470
227	3085	10446
228	3095	10421
229	3106	10401
230	3116	10376
231	3127	10352
232	3138	10330
233	3148	10308
234	3160	10286
235	3170	10263
236	3181	10241
237	3191	10216
238	3201	10194
239	3212	10174
240	3223	10150
241	3233	10128
242	3244	10107
243	3255	10086
244	3265	10063
245	3276	10042
246	3286	10020
247	3297	9999
248	3308	9977
249	3319	9957
250	3330	9937
251	3340	9916
252	3351	9896
253	3363	9877
254	3373	9855
255	3383	9834
256	3394	9812
257	3406	9796
258	3417	9778
259	3427	9756
260	3439	9737
261	3449	9715
262	3460	9696
263	3470	9675
264	3480	9653
265	3489	9630
266	3499	9608
267	3511	9590
268	3521	9569
269	3531	9547
270	3541	9526
271	3550	9504
272	3561	9483
273	3571	9462
274	3580	9438
275	3590	9418
276	3599	9395
277	3609	9375
278	3620	9356
279	3631	9336
280	3641	9318
281	3653	9301
282	3664	9284
283	3675	9265
284	3687	9250
285	3697	9231
286	3708	9213
287	3719	9195
288	3730	9177
289	3741	9159
290	3752	9143
291	3762	9123
292	3773	9104
293	3783	9086
294	3794	9069
295	3805	9051
296	3816	9034
297	3828	9017
298	3839	9001
299	3849	8982
300	3860	8965
301	3871	8947
302	3882	8930
303	3892	8912
304	3903	8894
305	3914	8876
306	3923	8857
307	3935	8841
308	3946	8824
309	3956	8806
310	3966	8788
311	3976	8769
312	3986	8750
313	3997	8733
314	4008	8717
315	4019	8699
316	4029	8682
317	4040	8665
318	4050	8646
319	4061	8630
320	4071	8613
321	4082	8596
322	4093	8580
323	4104	8564
324	4115	8548
325	4127	8532
326	4138	8517
327	4150	8503
328	4159	8483
329	4169	8465
330	4180	8449
331	4191	8433
332	4202	8417
333	4212	8400
334	4222	8382
335	4233	8365
336	4244	8350
337	4254	8333
338	4264	8315
339	4275	8300
340	4285	8282
341	4296	8266
342	4307	8249
343	4318	8235
344	4328	8218
345	4339	8202
346	4350	8186
347	4360	8170
348	4371	8155
349	4384	8142
350	4394	8125
351	4404	8109
352	4415	8092
353	4425	8076
354	4437	8062
355	4448	8047
356	4459	8031
357	4469	8015
358	4480	7999
359	4491	7984
360	4502	7969
361	4513	7954
362	4523	7938
363	4534	7923
364	4545	7907
365	4555	7891
366	4565	7875
367	4575	7858
368	4586	7842
369	4596	7827
370	4607	7811
371	4617	7795
372	4629	7781
373	4639	7765
374	4650	7750
375	4664	7740
376	4676	7728
377	4694	7724
378	4705	7710
379	4716	7694
380	4726	7678
381	4736	7663
382	4747	7647
383	4757	7631
384	4766	7614
385	4776	7597
386	4786	7581
387	4796	7565
388	4806	7549
389	4818	7537
390	4829	7521
391	4840	7507
392	4850	7491
393	4860	7476
394	4871	7461
395	4881	7446
396	4892	7431
397	4902	7415
398	4913	7401
399	4924	7386
400	4934	7371
401	4944	7355
402	4955	7341
