rent,area,type,bathrooms,furnished_type,localityclass,city
63000,1800,3,3,Semi-Furnished,class2,Mumbai
18000,412,1,1,Unfurnished,class2,Mumbai
65000,1300,2,2,Furnished,class2,Mumbai
16000,520,1,1,Unfurnished,class2,Mumbai
85000,1400,2,2,Semi-Furnished,class1,Mumbai
35000,1000,2,1,Unfurnished,class2,Mumbai
35000,700,2,1,Unfurnished,class2,Mumbai
36000,600,1,1,Furnished,class1,Mumbai
51000,1200,2,2,Furnished,class2,Mumbai
65000,1600,3,2,Semi-Furnished,class2,Mumbai
81000,1750,3,3,Furnished,class2,Mumbai
10000,650,1,2,Unfurnished,class2,Mumbai
12000,650,1,2,Unfurnished,class2,Mumbai
16000,950,2,2,Unfurnished,class2,Mumbai
28000,680,2,2,Furnished,class2,Mumbai
65000,1250,3,2,Semi-Furnished,class1,Mumbai
75000,1100,2,2,Furnished,class1,Mumbai
80000,1200,2,2,Semi-Furnished,class1,Mumbai
80000,1000,2,2,Furnished,class1,Mumbai
65000,1100,2,2,Furnished,class1,Mumbai
45000,550,1,2,Unfurnished,class1,Mumbai
55000,550,1,1,Furnished,class1,Mumbai
57000,1190,2,2,Furnished,class2,Mumbai
14000,720,1,2,Semi-Furnished,class2,Mumbai
36000,1250,2,2,Semi-Furnished,class2,Mumbai
70000,1272,2,2,Semi-Furnished,class1,Mumbai
45000,450,1,2,Furnished,class1,Mumbai
20500,530,1,1,Semi-Furnished,class2,Mumbai
55000,1700,3,2,Semi-Furnished,class2,Mumbai
64000,1250,2,2,Unfurnished,class1,Mumbai
85000,1400,2,2,Semi-Furnished,class1,Mumbai
18000,700,1,1,Unfurnished,class2,Mumbai
26000,1250,2,2,Unfurnished,class2,Mumbai
19000,1100,2,2,Unfurnished,class2,Mumbai
19000,1150,2,2,Unfurnished,class2,Mumbai
18000,700,1,1,Semi-Furnished,class2,Mumbai
23500,1250,2,2,Semi-Furnished,class2,Mumbai
57000,1190,2,2,Furnished,class2,Mumbai
49000,640,1,2,Semi-Furnished,class1,Mumbai
69000,1075,2,2,Semi-Furnished,class1,Mumbai
70000,1150,2,2,Furnished,class1,Mumbai
21000,1150,2,2,Semi-Furnished,class2,Mumbai
15500,1150,2,2,Unfurnished,class3,Mumbai
9500,720,1,1,Unfurnished,class3,Mumbai
30000,1550,3,2,Furnished,class2,Mumbai
60000,1100,2,2,Semi-Furnished,class1,Mumbai
65000,1350,2,2,Semi-Furnished,class2,Mumbai
55000,1100,2,2,Unfurnished,class2,Mumbai
8000,582,1,1,Unfurnished,class3,Mumbai
13000,720,1,2,Semi-Furnished,class2,Mumbai
85000,1050,2,2,Semi-Furnished,class1,Mumbai
52000,1700,3,1,Semi-Furnished,class2,Mumbai
80000,1100,2,2,Furnished,class1,Mumbai
68000,1350,2,2,Semi-Furnished,class1,Mumbai
68000,1100,2,2,Furnished,class1,Mumbai
57000,1100,2,2,Unfurnished,class1,Mumbai
70000,1250,2,2,Semi-Furnished,class1,Mumbai
90000,1760,3,3,Semi-Furnished,class1,Mumbai
22000,1100,2,2,Semi-Furnished,class2,Mumbai
14000,710,1,1,Unfurnished,class2,Mumbai
15000,1120,2,2,Unfurnished,class3,Mumbai
50000,650,1,2,Furnished,class1,Mumbai
75000,1100,2,2,Semi-Furnished,class1,Mumbai
14000,720,1,2,Semi-Furnished,class2,Mumbai
36000,1250,2,2,Semi-Furnished,class2,Mumbai
18000,700,1,1,Unfurnished,class2,Mumbai
26000,1250,2,2,Unfurnished,class2,Mumbai
55000,1200,2,2,Furnished,class2,Mumbai
16000,650,1,1,Unfurnished,class2,Mumbai
38000,1500,2,2,Furnished,class2,Mumbai
19000,1100,2,2,Unfurnished,class2,Mumbai
19000,1150,2,2,Unfurnished,class2,Mumbai
18000,700,1,1,Semi-Furnished,class2,Mumbai
23500,1250,2,2,Semi-Furnished,class2,Mumbai
35000,1500,3,3,Semi-Furnished,class2,Mumbai
63000,1060,2,2,Semi-Furnished,class1,Mumbai
40000,1160,2,2,Unfurnished,class2,Mumbai
20000,680,1,1,Semi-Furnished,class2,Mumbai
21000,1100,2,2,Unfurnished,class2,Mumbai
59000,1100,2,2,Unfurnished,class1,Mumbai
22000,1150,2,2,Unfurnished,class2,Mumbai
78000,2500,4,4,Furnished,class2,Mumbai
22000,1100,2,2,Semi-Furnished,class2,Mumbai
45000,1700,3,3,Semi-Furnished,class2,Mumbai
27000,1085,2,2,Unfurnished,class2,Mumbai
12500,600,1,1,Semi-Furnished,class2,Mumbai
45000,450,1,2,Furnished,class1,Mumbai
55000,1200,2,2,Furnished,class2,Mumbai
16000,650,1,1,Unfurnished,class2,Mumbai
38000,1500,2,2,Furnished,class2,Mumbai
85000,1050,2,2,Semi-Furnished,class1,Mumbai
11000,495,1,2,Semi-Furnished,class2,Mumbai
14000,765,2,2,Furnished,class2,Mumbai
80000,1605,3,4,Semi-Furnished,class2,Mumbai
20000,1300,3,1,Furnished,class2,Mumbai
12000,515,1,1,Unfurnished,class2,Mumbai
50000,550,1,1,Unfurnished,class1,Mumbai
9500,615,1,1,Unfurnished,class2,Mumbai
